lat_rounded,lon_rounded,district_imputed
48.89,2.33,
48.89,2.35,
48.88,2.32,
48.85,2.31,
48.86,2.27,
48.86,2.35,
48.86,2.37,
48.86,2.38,
48.88,2.37,
48.88,2.33,
48.82,2.35,
48.86,2.36,
48.84,2.35,
48.87,2.36,
48.87,2.37,
48.88,2.31,
48.85,2.37,
48.84,2.36,
48.88,2.29,
48.84,2.33,
48.87,2.35,
48.85,2.4,
48.89,2.32,
48.88,2.36,
48.9,2.34,
48.85,2.29,
48.85,2.32,
48.85,2.34,
48.84,2.29,
48.84,2.34,
48.84,2.26,
48.87,2.4,
48.88,2.35,
48.84,2.28,
48.86,2.39,
48.88,2.34,
48.83,2.33,
48.86,2.4,
48.87,2.38,
48.85,2.39,
48.85,2.38,
48.87,2.39,
48.86,2.32,
48.84,2.41,
48.89,2.34,
48.85,2.27,
48.9,2.35,
48.83,2.35,
48.84,2.3,
48.86,2.34,
48.85,2.3,
48.89,2.36,
48.86,2.31,
48.88,2.28,
48.84,2.39,
48.87,2.32,
48.9,2.32,
48.86,2.3,
48.83,2.34,
48.84,2.32,
48.88,2.4,
48.86,2.28,
48.82,2.34,
48.83,2.4,
48.89,2.38,
48.83,2.32,
48.89,2.39,
48.87,2.28,
48.85,2.36,
48.86,2.33,
48.89,2.31,
48.83,2.36,
48.84,2.4,
48.88,2.39,
48.85,2.33,
48.88,2.38,
48.84,2.38,
48.87,2.34,
48.84,2.31,
48.85,2.41,
48.88,2.3,
48.85,2.35,
48.86,2.29,
48.87,2.29,
48.84,2.27,
48.87,2.31,
48.89,2.37,
48.82,2.33,
48.83,2.37,
48.9,2.33,
48.87,2.33,
48.83,2.3,
48.85,2.28,
48.82,2.36,
48.83,2.29,
48.83,2.31,
48.86,2.41,
48.87,2.27,
48.87,2.3,
48.85,2.26,
48.9,2.38,
48.83,2.38,
48.87,2.41,
48.82,2.37,
48.88,2.41,
48.89,2.29,
48.85,2.24,
48.83,2.41,
48.9,2.37,
48.82,2.32,
48.84,2.37,
48.9,2.39,
48.89,2.3,
48.83,2.28,
48.9,2.36,
48.84,2.25,
48.83,2.39,
48.85,2.25,
48.88,2.26,
48.86,2.26,
48.85,2.42,
13.72,100.59,
-22.98,-43.22,
-33.89,151.27,
40.88,29.09,
41.91,12.47,
22.22,114.21,
41.01,29.01,
41.89,12.52,
41.91,12.54,
41.89,12.54,
19.37,-99.25,
19.34,-99.16,
-33.91,18.4,
-33.89,18.66,
-33.91,18.41,
-22.99,-43.21,
-22.99,-43.19,
-22.97,-43.19,
-22.96,-43.2,
-33.84,151.21,
-33.89,151.26,
-33.81,151.01,
41.05,28.98,
41.92,12.51,
41.91,12.46,
41.91,12.45,
41.88,12.51,
41.9,12.46,
41.9,12.5,
22.3,114.17,
22.29,114.02,
19.39,-99.16,
19.42,-99.16,
-33.89,18.48,
-33.92,18.42,
-33.79,151.12,
-33.89,151.28,
-33.87,151.19,
-33.96,151.16,
41.04,28.99,
41.9,12.49,
22.28,114.17,
22.29,114.14,
22.3,114.03,
19.41,-99.17,
19.43,-99.16,
19.36,-99.18,
19.48,-99.21,
19.43,-99.15,
19.36,-99.16,
19.44,-99.13,
19.4,-99.15,
19.43,-99.19,
19.37,-99.27,
19.44,-99.21,
19.41,-99.18,
-34.09,18.49,
-33.95,18.38,
-33.93,18.42,
-23.02,-43.45,
-22.96,-43.17,
-23.01,-43.33,
-22.94,-43.25,
-33.79,151.29,
-33.76,151.3,
-33.97,151.25,
-33.86,151.21,
-33.96,151.1,
-33.66,151.31,
-33.79,151.27,
-33.93,151.12,
-33.85,151.22,
-33.73,151.3,
-33.83,151.21,
-33.97,151.1,
-33.81,151.09,
-33.89,150.94,
-33.89,151.21,
-33.84,151.23,
-33.88,151.23,
-33.9,151.21,
-33.85,151.07,
41.03,28.98,
41.96,12.55,
41.9,12.51,
41.92,12.49,
41.89,12.47,
41.89,12.56,
41.89,12.5,
41.74,12.27,
13.73,100.56,
13.74,100.74,
19.35,-99.15,
-33.93,18.44,
-22.98,-43.19,
-23.01,-43.35,
-33.94,151.24,
-33.89,151.12,
-33.91,151.03,
-34.06,151.15,
41.03,28.99,
41.94,12.46,
41.88,12.54,
41.79,12.4,
41.91,12.48,
-22.95,-43.17,
-33.8,151.29,
-33.87,151.23,
-33.88,151.21,
19.4,-99.11,
-33.99,18.46,
-23.01,-43.31,
-33.79,151.28,
40.99,29.03,
19.41,-99.16,
19.36,-99.28,
-34.14,18.33,
-22.94,-43.18,
-33.82,151.01,
-33.9,151.27,
41.04,28.97,
41.88,12.48,
41.9,12.47,
41.93,12.47,
13.68,100.52,
13.73,100.59,
22.26,114.0,
19.42,-99.17,
19.48,-99.19,
19.43,-99.1,
-34.14,18.32,
-33.84,18.5,
-33.93,18.4,
-33.82,18.66,
-34.11,18.47,
-22.99,-43.22,
-22.95,-43.19,
-22.91,-43.19,
-22.91,-43.18,
-23.02,-43.5,
-33.88,151.24,
-34.04,151.16,
-33.7,151.3,
-33.88,151.22,
-33.8,151.21,
-33.79,151.25,
-33.73,151.05,
-33.84,151.22,
-33.78,151.05,
-33.91,151.24,
-33.89,151.2,
-33.87,151.22,
-33.9,151.17,
-33.9,151.15,
-33.92,150.93,
-33.87,151.2,
-33.67,151.31,
-33.89,151.24,
40.98,29.03,
41.02,28.97,
41.91,12.55,
41.89,12.53,
41.87,12.49,
41.72,12.3,
-34.09,18.48,
-33.9,18.69,
-23.02,-43.49,
-33.88,151.18,
41.2,29.05,
41.05,29.0,
41.98,12.45,
41.87,12.48,
48.89,2.4,
13.74,100.57,
13.72,100.53,
13.83,100.53,
13.68,100.54,
13.72,100.57,
22.29,114.15,
22.28,114.15,
19.36,-99.29,
19.36,-99.27,
19.43,-99.14,
19.43,-99.17,
-33.96,18.38,
-33.91,18.42,
-22.95,-43.18,
-22.96,-43.18,
-22.93,-43.18,
-22.97,-43.18,
-22.98,-43.2,
-22.9,-43.18,
-22.92,-43.24,
-23.0,-43.33,
-33.89,151.18,
-33.87,151.21,
-33.91,151.27,
-33.69,151.31,
-33.83,151.23,
-33.85,151.21,
-33.9,151.18,
-33.93,151.24,
40.92,29.3,
41.06,28.98,
40.94,29.12,
40.95,29.17,
41.06,28.99,
40.99,29.05,
41.06,29.0,
41.77,12.38,
41.86,12.49,
41.95,12.44,
22.32,114.16,
22.33,114.19,
19.4,-99.14,
19.45,-99.2,
-33.94,18.43,
-34.12,18.45,
-34.06,18.83,
-34.16,18.87,
-33.94,18.41,
-34.0,18.47,
-34.05,18.36,
-33.9,18.55,
-34.09,18.87,
-34.06,18.45,
-22.98,-43.21,
-22.92,-43.18,
-22.94,-43.17,
-23.01,-43.43,
-22.97,-43.4,
-22.98,-43.42,
-23.01,-43.34,
-33.8,151.28,
-33.75,151.29,
-33.89,151.23,
-33.72,151.3,
-33.95,151.2,
-33.91,151.25,
-33.81,151.1,
-33.92,151.19,
-33.92,151.26,
41.87,12.51,
41.74,12.25,
41.93,12.44,
41.73,12.28,
41.89,12.51,
41.74,12.28,
41.91,12.52,
-33.78,151.28,
13.81,100.56,
13.81,100.63,
22.3,114.18,
19.38,-99.14,
19.4,-99.18,
19.44,-99.19,
-22.97,-43.39,
-23.02,-43.46,
-22.97,-43.21,
-22.86,-43.6,
-33.93,151.26,
-33.63,151.33,
-33.92,151.25,
-33.78,151.29,
-33.8,151.27,
-33.95,151.22,
40.96,28.82,
41.04,29.0,
41.91,12.5,
41.9,12.42,
48.9,2.31,
13.74,100.45,
13.71,100.6,
22.29,114.2,
19.34,-99.18,
19.35,-99.18,
19.44,-99.15,
19.43,-99.2,
-22.99,-43.2,
-33.85,151.28,
41.91,12.49,
41.9,12.48,
41.9,12.45,
13.74,100.58,
13.78,100.49,
19.38,-99.17,
19.42,-99.15,
19.41,-99.15,
19.33,-99.24,
19.44,-99.14,
-22.92,-43.21,
-22.94,-43.19,
-33.91,151.26,
-33.9,151.26,
41.0,29.03,
41.05,28.99,
40.95,29.12,
41.04,28.98,
41.89,12.49,
41.91,12.53,
41.87,12.54,
19.42,-99.18,
13.72,100.51,
13.7,100.59,
13.75,100.55,
13.77,100.58,
19.31,-99.05,
-33.82,18.48,
-33.94,18.42,
-34.04,18.35,
-23.0,-43.36,
-33.88,151.2,
41.88,12.46,
41.88,12.5,
41.81,12.44,
41.92,12.46,
13.67,100.61,
13.69,100.61,
22.51,114.06,
19.46,-99.16,
19.33,-99.13,
19.39,-99.17,
-34.06,18.85,
-34.12,18.82,
-34.1,18.48,
-33.92,18.7,
-33.84,151.13,
41.07,28.99,
41.0,28.87,
41.02,28.82,
41.04,29.01,
41.88,12.43,
41.93,12.52,
13.71,100.51,
19.37,-99.14,
-33.9,18.4,
-33.89,151.15,
-33.8,151.12,
-33.9,151.23,
41.07,29.04,
41.9,12.52,
41.89,12.45,
41.92,12.57,
41.89,12.48,
41.89,12.44,
19.43,-99.18,
41.84,12.56,
13.75,100.61,
19.41,-99.19,
19.38,-99.16,
-33.93,18.41,
-34.01,18.46,
-22.98,-43.23,
-23.02,-43.47,
-33.9,151.2,
-33.78,151.11,
-34.05,151.16,
-33.94,151.25,
41.03,28.97,
41.87,12.46,
41.93,12.48,
41.92,12.5,
13.77,100.57,
13.78,100.57,
13.69,100.64,
13.7,100.49,
13.75,100.54,
13.67,100.6,
19.32,-99.17,
-34.03,18.47,
-33.93,151.25,
-33.81,151.18,
-33.82,151.1,
-33.77,151.08,
41.11,29.05,
41.01,28.97,
41.06,28.94,
41.88,12.47,
41.87,12.52,
41.91,12.42,
41.92,12.42,
41.94,12.42,
41.89,12.55,
41.89,12.57,
41.9,12.44,
41.86,12.57,
41.92,12.45,
41.94,12.47,
41.87,12.45,
41.74,12.29,
41.92,12.52,
41.96,12.46,
41.81,12.42,
41.92,12.44,
41.92,12.53,
41.86,12.47,
41.87,12.47,
41.9,12.43,
13.76,100.58,
19.3,-99.14,
19.4,-99.17,
19.32,-99.08,
-33.79,18.46,
-34.09,18.46,
-33.89,18.51,
-22.93,-43.17,
-22.99,-43.23,
41.02,28.63,
41.73,12.29,
41.91,12.44,
41.85,12.47,
13.72,100.54,
13.75,100.53,
13.75,100.56,
13.72,100.48,
22.3,114.01,
-33.93,18.5,
-33.92,18.39,
-33.93,18.69,
-22.92,-43.19,
41.72,12.31,
19.39,-99.18,
19.4,-99.16,
-33.65,151.32,
-33.79,151.08,
-33.82,151.24,
-33.83,151.25,
-33.83,151.2,
41.86,12.55,
-33.88,18.65,
-33.88,151.27,
40.98,28.88,
19.42,-99.14,
19.33,-99.23,
-22.98,-43.24,
-34.03,151.1,
-33.86,151.28,
41.97,12.51,
19.35,-99.16,
19.49,-99.15,
19.43,-99.21,
-33.8,18.46,
-34.14,18.39,
-33.88,18.51,
-22.93,-43.19,
-22.91,-43.24,
-33.83,151.19,
-33.88,151.28,
-33.83,151.08,
-33.94,151.15,
-33.83,151.13,
40.98,29.02,
41.12,28.77,
41.88,12.49,
13.8,100.55,
19.35,-99.19,
19.44,-99.16,
-33.94,151.26,
-33.79,151.18,
-33.87,151.1,
-33.82,151.21,
-33.88,151.26,
-33.88,151.15,
41.0,28.97,
-34.04,18.36,
42.02,12.39,
19.44,-99.2,
-33.93,18.43,
-33.83,18.48,
41.87,12.53,
-34.01,18.39,
-22.94,-43.58,
-33.88,151.17,
-33.7,150.93,
41.06,28.81,
41.86,12.54,
41.94,12.55,
41.87,12.55,
-33.81,18.47,
-33.93,151.16,
-33.91,151.21,
40.99,29.02,
41.92,12.47,
41.88,12.52,
13.7,100.5,
13.76,100.57,
19.36,-99.2,
19.37,-99.15,
-33.82,18.5,
-33.74,18.44,
-33.94,18.5,
-34.2,18.45,
-33.91,18.39,
-34.17,18.43,
-33.87,151.24,
-33.94,151.2,
-33.88,151.19,
-33.98,151.24,
-33.86,151.18,
41.84,12.51,
41.91,12.51,
22.32,114.17,
19.33,-99.15,
19.37,-99.18,
19.43,-99.22,
-22.99,-43.26,
-22.91,-43.23,
-22.97,-43.36,
-22.92,-43.22,
-23.01,-43.32,
-22.97,-43.38,
-23.01,-43.3,
-23.01,-43.46,
-22.99,-43.36,
-23.01,-43.45,
-23.0,-43.32,
-23.0,-43.37,
-23.0,-43.35,
-23.01,-43.36,
-23.0,-43.4,
-22.95,-43.36,
-33.92,151.2,
-34.05,151.15,
-33.66,151.3,
-33.8,151.0,
-33.87,151.27,
-33.95,151.13,
41.02,28.66,
41.07,28.89,
41.96,12.4,
41.93,12.51,
42.02,12.36,
13.9,100.64,
19.37,-99.11,
19.46,-99.13,
-22.99,-43.42,
-22.98,-43.37,
-23.0,-43.26,
19.37,-99.17,
-34.1,18.82,
-33.91,151.15,
-33.91,151.23,
41.01,28.6,
41.04,28.93,
-33.86,151.06,
22.28,114.13,
-23.0,-43.43,
-33.96,151.06,
-33.93,151.15,
-33.92,151.23,
41.01,28.8,
41.94,12.52,
41.92,12.55,
-33.87,151.25,
-33.91,151.19,
-33.86,151.17,
13.73,100.58,
-22.91,-43.21,
-33.85,151.13,
-33.92,151.24,
40.96,29.1,
-33.92,18.38,
-34.11,18.83,
-33.9,18.41,
-22.98,-43.41,
-23.02,-43.51,
-22.93,-43.24,
-33.76,151.27,
-33.87,151.09,
41.75,12.38,
13.73,100.57,
19.34,-99.2,
-23.01,-43.48,
-34.06,151.16,
-33.75,151.3,
-33.75,151.26,
-33.94,151.22,
-33.95,151.25,
41.02,29.01,
41.94,12.53,
22.27,114.17,
19.44,-99.18,
-22.97,-43.41,
-23.03,-43.47,
-22.94,-43.36,
-22.93,-43.58,
-33.91,151.18,
-33.82,151.09,
41.13,29.05,
41.04,28.95,
41.04,29.09,
13.7,100.6,
19.41,-99.11,
-34.17,18.86,
-33.96,18.48,
-33.93,18.38,
-34.08,18.85,
-22.95,-43.2,
-22.96,-43.21,
-22.92,-43.26,
-22.94,-43.33,
-22.99,-43.38,
-22.96,-43.38,
-33.84,151.2,
-34.05,151.14,
-33.95,151.26,
-33.79,151.26,
-33.83,151.14,
40.99,28.89,
41.89,12.43,
19.35,-99.22,
-33.89,18.52,
-22.96,-43.22,
-22.91,-43.17,
-23.0,-43.42,
-23.01,-43.44,
-22.91,-43.22,
-22.96,-43.19,
-22.94,-43.2,
-33.89,151.25,
13.74,100.54,
19.38,-99.18,
19.38,-99.25,
19.3,-99.21,
-33.83,18.55,
-23.02,-43.48,
-22.96,-43.39,
-33.85,151.16,
40.97,28.72,
40.89,29.2,
41.1,28.94,
40.99,28.9,
13.72,100.58,
13.78,100.47,
13.72,100.56,
19.39,-99.26,
19.3,-99.2,
19.45,-99.14,
-22.97,-43.2,
-22.9,-43.26,
-22.92,-43.23,
-22.89,-43.23,
-22.99,-43.33,
-23.03,-43.49,
-23.03,-43.48,
-23.0,-43.38,
-22.93,-43.23,
-22.9,-43.29,
-33.98,151.25,
-33.87,151.26,
41.01,28.95,
41.0,29.07,
41.02,28.62,
41.01,28.96,
41.09,29.03,
41.01,28.66,
41.06,28.71,
41.02,28.94,
40.91,29.05,
13.75,100.63,
13.7,100.61,
-33.82,18.52,
-33.74,151.3,
-33.86,151.19,
-33.75,151.27,
41.01,28.67,
41.92,12.41,
13.76,100.65,
13.75,100.58,
13.78,100.63,
13.93,100.6,
13.66,100.63,
13.77,100.56,
-33.78,18.45,
-22.87,-43.27,
-22.86,-43.3,
-22.89,-43.32,
-22.9,-43.54,
41.01,28.98,
41.11,29.04,
41.02,29.02,
41.06,28.96,
41.0,28.93,
41.07,28.78,
41.01,29.09,
41.86,12.36,
13.87,100.6,
13.74,100.59,
13.79,100.57,
13.78,100.58,
13.69,100.49,
22.4,114.11,
22.29,114.19,
19.43,-99.11,
-22.9,-43.61,
-33.89,151.17,
41.09,28.93,
41.03,28.95,
41.06,28.67,
40.96,29.09,
22.34,114.2,
48.83,2.43,
-33.93,151.2,
-33.74,151.01,
13.69,100.55,
13.74,100.55,
-33.86,151.1,
13.71,100.45,
13.72,100.52,
13.73,100.41,
13.82,100.57,
13.83,100.57,
13.74,100.56,
13.68,100.5,
13.71,100.59,
13.71,100.48,
22.31,114.17,
22.28,114.19,
-33.93,18.46,
-33.84,151.24,
-33.82,151.2,
-33.91,151.14,
-33.9,151.25,
-33.89,151.19,
-33.9,151.19,
41.05,29.01,
41.78,12.43,
48.82,2.38,
-34.13,18.44,
-33.92,18.43,
-22.96,-43.4,
-33.85,151.2,
-33.92,151.15,
41.77,12.49,
41.89,12.46,
41.89,12.42,
13.68,100.61,
13.71,100.43,
13.76,100.5,
13.88,100.65,
-34.01,18.38,
-33.7,18.44,
-33.91,151.17,
-33.71,151.17,
13.79,100.56,
-33.83,151.22,
-33.89,151.22,
13.92,100.6,
-34.06,18.82,
-33.98,18.49,
-33.63,151.32,
13.69,100.63,
13.68,100.62,
13.76,100.55,
13.75,100.57,
-33.87,18.62,
-33.89,151.13,
-33.88,151.1,
41.82,12.4,
48.83,2.42,
13.76,100.54,
13.71,100.62,
13.75,100.59,
13.81,100.65,
22.45,114.01,
22.31,114.18,
-34.09,18.88,
-34.03,18.36,
-34.06,18.86,
41.02,28.64,
41.02,28.98,
41.95,12.43,
48.82,2.39,
13.72,100.55,
13.72,100.71,
13.69,100.6,
13.7,100.51,
-22.89,-43.3,
-33.76,151.29,
-33.9,151.14,
-33.91,151.04,
-33.8,151.18,
-33.92,151.21,
-33.92,151.03,
-33.83,151.09,
-33.87,150.96,
-33.92,151.18,
-33.95,151.23,
41.09,29.02,
41.0,28.98,
41.87,12.44,
41.88,12.56,
19.38,-99.15,
-33.77,151.28,
41.95,12.54,
19.27,-99.14,
-22.92,-43.17,
-22.98,-43.39,
-33.68,151.31,
-33.85,151.14,
-33.91,151.16,
-33.8,151.01,
-33.82,151.11,
-33.87,151.28,
-33.87,151.18,
-33.96,151.15,
-33.91,151.2,
-33.86,151.08,
41.06,29.01,
19.46,-99.18,
19.34,-99.25,
-22.93,-43.36,
-33.97,151.13,
-33.88,150.89,
-33.74,151.14,
-33.83,151.0,
-33.88,151.16,
-33.93,151.21,
-33.89,151.09,
41.04,28.92,
41.0,29.08,
41.87,12.37,
41.88,12.34,
41.88,12.45,
41.73,12.26,
41.88,12.53,
41.78,12.52,
19.36,-99.15,
-34.12,18.83,
22.28,114.18,
-33.81,151.17,
-33.81,151.2,
-33.83,151.15,
-33.82,151.13,
-33.69,151.29,
-33.82,151.0,
-33.8,150.99,
-33.86,18.6,
-33.9,151.24,
41.05,29.02,
41.88,12.42,
19.32,-99.07,
19.37,-99.19,
-22.89,-43.29,
-22.88,-43.27,
-33.82,150.99,
-33.96,151.25,
-33.83,151.24,
-33.9,151.16,
-33.81,151.29,
-33.81,151.15,
42.05,12.29,
13.68,100.53,
19.46,-99.21,
19.39,-99.15,
-22.88,-43.31,
-23.0,-43.39,
-33.81,151.02,
41.05,28.38,
41.02,28.65,
41.02,28.95,
41.08,28.88,
41.94,12.57,
13.81,100.57,
13.73,100.6,
13.77,100.48,
19.3,-99.12,
19.39,-99.23,
-22.91,-43.2,
-23.0,-43.45,
-33.81,151.11,
-33.8,151.26,
-33.73,151.0,
41.06,28.97,
41.01,28.93,
41.07,28.93,
19.36,-99.3,
-34.14,18.86,
-22.91,-43.26,
-22.93,-43.25,
41.1,28.78,
41.02,28.93,
40.91,29.2,
13.79,100.55,
19.33,-99.2,
-22.91,-43.27,
-22.88,-43.29,
-23.0,-43.41,
-22.97,-43.33,
-22.93,-43.2,
-33.78,151.27,
-33.94,151.05,
40.95,29.13,
41.09,28.66,
40.99,28.54,
40.97,29.08,
41.96,12.49,
41.81,12.46,
41.84,12.55,
13.82,100.67,
19.43,-99.06,
-23.01,-43.42,
-22.95,-43.34,
-22.93,-43.26,
-22.93,-43.61,
-22.91,-43.25,
-23.0,-43.49,
-22.9,-43.24,
-22.95,-43.35,
-22.89,-43.35,
-22.97,-43.42,
-22.9,-43.25,
-23.01,-43.47,
-22.94,-43.35,
-22.9,-43.3,
-22.89,-43.55,
-22.88,-43.35,
-33.91,151.22,
-33.92,151.16,
41.05,28.96,
41.09,28.95,
41.05,28.79,
41.03,29.07,
41.09,28.77,
41.78,12.54,
41.97,12.44,
13.76,100.56,
13.72,100.5,
13.72,100.49,
-22.97,-43.23,
-22.99,-43.63,
-22.94,-43.39,
-22.92,-43.25,
-33.97,151.12,
40.98,28.77,
41.08,29.0,
40.98,29.05,
41.08,28.97,
41.01,28.94,
41.06,28.84,
42.04,12.31,
13.67,100.65,
19.25,-99.07,
-33.91,18.54,
-22.99,-43.32,
-22.92,-43.39,
-33.84,151.15,
-33.86,151.13,
40.98,28.75,
-22.93,-43.37,
-33.69,151.3,
-33.65,151.31,
13.71,100.5,
13.7,100.54,
19.36,-99.13,
-33.96,151.14,
-33.93,150.84,
13.73,100.53,
19.5,-99.18,
19.28,-99.19,
-33.78,18.46,
-34.07,18.84,
-33.85,151.24,
-33.7,151.29,
-33.93,151.07,
-33.82,151.18,
-33.83,151.01,
-33.81,151.04,
-33.71,151.3,
13.73,100.52,
-33.75,151.28,
-33.92,151.13,
-33.92,151.08,
-33.81,151.28,
-33.94,151.11,
-33.88,151.25,
-33.93,151.09,
-33.82,151.23,
-33.96,151.23,
13.78,100.54,
13.68,100.6,
-33.99,18.45,
-33.93,18.45,
-22.98,-43.33,
-33.86,151.11,
-33.93,151.23,
-33.87,151.17,
41.88,12.4,
-33.82,151.17,
-33.64,151.33,
-33.88,151.09,
41.82,12.49,
-33.9,151.22,
-33.91,151.12,
41.12,29.06,
-34.13,18.42,
-33.97,18.47,
-34.04,151.15,
19.44,-99.17,
19.27,-99.19,
19.3,-99.18,
-33.82,18.47,
-34.03,18.34,
-33.72,18.45,
-34.04,151.06,
-33.87,151.13,
-33.89,151.14,
-33.92,150.92,
19.29,-99.13,
19.42,-99.13,
-23.01,-43.29,
-33.95,151.21,
40.88,29.1,
41.83,12.6,
-33.8,151.25,
41.87,12.56,
13.77,100.54,
-33.86,18.51,
-34.13,18.84,
-34.03,18.43,
41.87,12.42,
41.92,12.68,
-33.81,151.08,
-33.76,151.28,
-33.77,151.1,
-33.67,151.3,
-33.97,151.15,
-33.92,151.04,
13.72,100.7,
13.88,100.59,
13.78,100.48,
13.71,100.61,
13.89,100.61,
22.28,114.16,
19.48,-99.08,
19.34,-99.19,
-34.1,18.88,
-33.81,18.51,
-34.11,18.84,
-33.89,18.59,
41.06,29.02,
41.03,28.67,
41.01,28.65,
41.01,28.69,
40.94,29.32,
41.05,28.67,
41.04,29.03,
41.94,12.48,
41.86,12.45,
41.96,12.63,
-22.89,-43.22,
-23.01,-43.37,
-22.91,-43.3,
-22.9,-43.35,
-22.88,-43.42,
-33.86,151.16,
-33.81,151.19,
-33.77,151.26,
-33.78,151.07,
-33.94,151.21,
-33.89,151.16,
-33.68,151.3,
-33.95,151.24,
-33.86,151.07,
48.83,2.27,
13.7,100.43,
13.73,100.47,
-22.84,-43.37,
-33.76,151.16,
-33.83,151.07,
13.75,100.5,
13.69,100.48,
13.78,100.4,
13.77,100.42,
13.83,100.65,
13.77,100.41,
13.76,100.43,
13.78,100.44,
13.8,100.54,
13.72,100.47,
13.68,100.55,
13.78,100.61,
-23.0,-43.31,
-22.9,-43.21,
-33.88,151.11,
-33.76,150.76,
41.06,28.82,
13.75,100.65,
13.76,100.62,
-34.16,18.89,
-33.88,18.68,
-22.93,-43.33,
-22.96,-43.16,
-22.99,-43.35,
-22.82,-43.3,
-22.82,-43.38,
-22.9,-43.36,
-22.81,-43.2,
-22.99,-43.41,
-22.88,-43.56,
41.09,29.09,
41.07,28.94,
41.12,29.03,
41.98,12.52,
42.0,12.49,
41.86,12.5,
-22.97,-43.17,
-33.82,151.08,
41.07,29.0,
-33.91,151.13,
41.03,28.85,
41.85,12.59,
-33.98,18.45,
-34.09,18.83,
-33.85,151.18,
41.85,12.43,
41.93,12.43,
13.73,100.63,
-33.71,151.1,
-33.81,151.16,
41.95,12.47,
41.84,12.59,
-33.8,151.19,
41.98,12.53,
-33.9,18.63,
-33.94,151.23,
41.79,12.43,
-33.85,151.03,
41.02,28.91,
41.0,28.89,
41.0,28.65,
13.79,100.61,
-23.02,-43.31,
-22.93,-43.35,
40.98,28.9,
41.11,29.01,
